ID,min_year,max_year
26830,1997,2018
26831,1997,2018
26832,1997,2018
26833,2009,2012
26842,1978,2018
26843,2011,2018
26845,2005,2007
26849,1964,1975
26850,1964,1974
26851,1972,1975
26852,1968,1974
26853,1961,1975
26854,1962,1974
26855,1961,1974
26856,1964,1974
26860,1961,1975
26861,1960,1975
26867,2007,2009
26869,2007,2009
26870,1961,1975
26871,1960,1974
26873,1961,1975
26877,1960,1974
26878,2007,2008
26887,2004,2008
26889,1962,1975
26890,2005,2008
26891,1964,1975
26892,1961,1975
26893,1997,2007
26894,1962,1974
26895,1961,1975
26896,1960,1974
26898,1972,1975
26899,1972,1974
26928,1974,1978
26929,1975,1979
26930,1975,1980
26931,1975,1979
26932,1975,1977
26933,1975,1979
26934,1976,1979
26952,1974,1979
26953,1978,1981
26954,1975,1979
26955,1975,1979
26959,1977,1979
26960,1979,1981
26962,1977,1980
26963,1977,1980
26966,1979,2006
26967,1977,1981
26969,1976,1980
26970,1977,1981
26971,1974,1979
26972,1975,1979
26973,1975,1979
26974,1975,1979
26975,1975,1979
26976,1975,1977
26977,1975,1979
26978,1975,1979
26979,1975,1979
26980,1975,1979
26981,1975,1979
26982,1975,1980
27196,1992,1999
27215,1987,1998
27216,2001,2010
27222,2009,2010
27223,2000,2003
27224,2000,2003
27225,2000,2003
27227,2001,2003
27228,2001,2003
27229,2006,2008
27230,2006,2008
27231,2006,2008
27232,2006,2008
27233,2006,2008
27234,1986,2007
27235,1988,2007
27236,1986,2007
27237,1986,2007
27239,2007,2011
27240,2007,2010
27241,2007,2009
27242,2007,2011
27245,2007,2011
27246,2007,2011
27247,2007,2010
27248,2007,2011
27249,2007,2011
27250,2008,2011
27251,2007,2010
27252,2007,2010
27253,2009,2010
27254,2009,2011
27255,2008,2010
27256,2007,2010
27257,2007,2010
27258,2007,2010
27261,1980,1988
27266,2008,2013
27267,2008,2013
27268,2008,2013
27269,2008,2013
27270,2008,2013
27272,2008,2013
27276,1965,1997
27321,2005,2007
27322,2005,2007
27356,1987,1988
27359,1975,1997
27360,2014,2016
27361,1997,2000
27362,1999,2000
27368,1999,2000
27369,1985,1997
27419,2000,2005
27420,2000,2002
27421,2000,2005
27422,2000,2005
27424,2000,2005
27425,2003,2005
27427,2002,2004
27429,2000,2005
27431,2000,2005
27436,2000,2005
27438,2001,2004
27439,2001,2003
27440,2000,2004
27441,2000,2005
27442,2000,2005
27443,2000,2005
27444,2001,2005
27445,2000,2003
27446,2000,2005
27448,2001,2005
27449,2000,2005
27450,2000,2001
27451,2002,2005
27452,2001,2005
27453,2000,2005
27454,2000,2005
27456,2001,2003
27457,2001,2005
27458,2000,2004
27459,2001,2005
27464,2000,2005
27465,2000,2005
27466,2000,2005
27468,2004,2005
27469,2000,2005
27470,2001,2004
27471,2001,2005
27472,2000,2005
27473,2000,2005
27474,2000,2004
27477,2000,2004
27478,2000,2005
27479,2000,2005
27480,2000,2005
27482,2000,2005
27483,2000,2005
27484,2000,2004
27489,2000,2005
27490,2000,2002
27491,2000,2004
27492,2000,2005
27494,2003,2004
27495,2000,2003
27496,2001,2005
27497,2000,2004
27498,2000,2005
27499,2003,2004
27500,2000,2004
27501,2000,2005
27503,2000,2005
27504,2000,2005
27505,2003,2005
27506,2001,2005
27507,2000,2005
