"ID","Binomial","Class","Latitude","Longitude","FW_realm","FW_biome","Units","n_datapoints","mean","median","min","max","sd","min_year","max_year","duration"
865,"Oncorhynchus_nerka","Actinopteri",60.33,-151.16,"Nearctic","Temperate coastal rivers","Millions of fish",23,0.0361694363738269,0.0331473364947217,0.0204864081461817,0.0601951563256998,0.0130075962192029,1968,1993,25
866,"Oncorhynchus_nerka","Actinopteri",58.52,-157.03,"Nearctic","Polar freshwaters","Thousands of fish",25,0.0155055167907031,0.015505516790685,0.0155055167906664,0.0155055167908049,4.03034044253485e-14,1951,1995,44
867,"Oncorhynchus_nerka","Actinopteri",58.52,-157.03,"Nearctic","Polar freshwaters","Numbers of fish",21,0.0107896669005582,0.0107896669006289,0.0107896668998784,0.0107896669009078,3.31333788163836e-13,1969,1991,22
868,"Oncorhynchus_nerka","Actinopteri",58.4,-157,"Nearctic","Polar freshwaters","Thousands of fish",25,0.00977671197324416,0.00945078698879431,0.00677571525490039,0.0137144108317728,0.00229233398648312,1951,1995,44
869,"Oncorhynchus_nerka","Actinopteri",57.16,-154.37,"Nearctic","Temperate coastal rivers","Thousands of fish",24,0.0216436269942161,0.0218417176311554,0.0195734615323011,0.022240351478342,0.000692895697390734,1951,1994,43
870,"Oncorhynchus_nerka","Actinopteri",57.3,-157.37,"Nearctic","Polar freshwaters","Thousands of fish",25,0.0341155028024253,0.0184930166024695,-0.0498263221849551,0.130645711549165,0.0506331125210469,1951,1995,44
871,"Oncorhynchus_nerka","Actinopteri",59.03,-158.3,"Nearctic","Polar freshwaters","Thousands of fish",25,0.0102634921969553,0.0109982375281983,-0.0122052793678731,0.0317790829134457,0.0142028926430136,1951,1995,44
879,"Salmo_salar","Actinopteri",42.70009,-71.16693,"Nearctic","Temperate coastal rivers","Fish counts - known returns",36,-0.0191127842123364,-0.0179150089674395,-0.327120801029849,0.329193344946299,0.155134768674746,1982,2018,36
880,"Salmo_salar","Actinopteri",47,-67.5,"Nearctic","Temperate coastal rivers","Eggs/100mÂ²",21,0.0209469713091347,-0.00247015614140089,-0.0209994532002233,0.125322407456113,0.0520438332885013,1968,1991,23
881,"Salmo_salar","Actinopteri",51,-57.05,"Nearctic","Temperate coastal rivers","Number of smolt",24,0.00884952754787778,0.0108650253353257,-0.0046580056182135,0.02085387248724,0.0102539568054311,1971,1995,24
