"","sci_name","Group"
"410","Thamnophis couchii","Reptile"
"411","Thamnophis cyrtopsis","Reptile"
"412","Thamnophis elegans","Reptile"
"413","Thamnophis eques","Reptile"
"414","Thamnophis fulvus","Reptile"
"415","Thamnophis gigas","Reptile"
"416","Thamnophis hammondii","Reptile"
"417","Thamnophis marcianus","Reptile"
"418","Thamnophis postremus","Reptile"
"419","Thamnophis proximus","Reptile"
"420","Thamnophis radix","Reptile"
"421","Thamnophis rufipunctatus","Reptile"
"422","Thamnophis sauritus","Reptile"
"423","Thamnophis sirtalis","Reptile"
"424","Thamnophis valida","Reptile"
"425","Thamnosophis lateralis","Reptile"
"426","Thermophis baileyi","Reptile"
"427","Thermophis shangrila","Reptile"
"428","Thermophis zhaoermii","Reptile"
"429","Tomistoma schlegelii","Reptile"
"430","Trachylepis boettgeri","Reptile"
"431","Trachylepis makolowodei","Reptile"
"432","Tretanorhinus nigroluteus","Reptile"
"433","Tretanorhinus taeniatus","Reptile"
"434","Tretanorhinus variabilis","Reptile"
"435","Trimerodytes aequifasciatus","Reptile"
"436","Trimerodytes annularis","Reptile"
"437","Trimerodytes percarinatus","Reptile"
"438","Trimerodytes yunnanensis","Reptile"
"439","Trionyx triunguis","Reptile"
"440","Tropidonophis aenigmaticus","Reptile"
"441","Tropidonophis dahlii","Reptile"
"442","Tropidonophis dendrophiops","Reptile"
"443","Tropidonophis halmahericus","Reptile"
"444","Tropidonophis hypomelas","Reptile"
"445","Tropidonophis mairii","Reptile"
"446","Tropidonophis mcdowelli","Reptile"
"447","Tropidonophis montanus","Reptile"
"448","Tropidonophis multiscutellatus","Reptile"
"449","Tropidonophis negrosensis","Reptile"
"450","Tropidonophis novaeguineae","Reptile"
"451","Tropidonophis parkeri","Reptile"
"452","Tropidonophis picturatus","Reptile"
"453","Tropidonophis punctiventris","Reptile"
"454","Tropidonophis statistictus","Reptile"
"455","Tropidonophis truncatus","Reptile"
"456","Tropidophorus assamensis","Reptile"
"457","Tropidophorus baconi","Reptile"
"458","Tropidophorus baviensis","Reptile"
"459","Tropidophorus beccarii","Reptile"
"460","Tropidophorus berdmorei","Reptile"
"461","Tropidophorus boehmei","Reptile"
"462","Tropidophorus davaoensis","Reptile"
"463","Tropidophorus hainanus","Reptile"
"464","Tropidophorus laotus","Reptile"
"465","Tropidophorus microlepis","Reptile"
"466","Tropidophorus murphyi","Reptile"
"467","Tropidophorus robinsoni","Reptile"
"468","Tropidophorus sinicus","Reptile"
"469","Tropidophorus thai","Reptile"
"470","Varanus bengalensis","Reptile"
"471","Varanus indicus","Reptile"
"472","Varanus juxtindicus","Reptile"
"473","Varanus mertensi","Reptile"
"474","Varanus mitchelli","Reptile"
"475","Varanus salvator","Reptile"
"476","Xenochrophis cerasogaster","Reptile"
"477","Xenochrophis maculatus","Reptile"
"478","Xenochrophis trianguligerus","Reptile"
